category,rank,item_name,variant_name,filename,width,height,sha256,source,source_path,category_token,category_index,original_filename,notes
bodies,1,Anniversary Banner Jpg,Default,bodies/001_anniversary_banner_jpg_default.png,80,80,7683e6d28b45e426f76b6733d9b77342e1175b2f92b96afa3ee10cce10c39552,julez64_images_zip,images/small/battle_cars_anniversary_banner.jpg,battle_cars,-1,battle_cars_anniversary_banner.jpg,category_from_filename_prefix
bodies,2,Anniversary Topper Jpg,Default,bodies/002_anniversary_topper_jpg_default.png,80,80,3a27e8c4d4b844be2641f671c99430f34166ecdcc273992ee9b9787b2f258227,julez64_images_zip,images/small/battle_cars_anniversary_topper.jpg,battle_cars,-1,battle_cars_anniversary_topper.jpg,category_from_filename_prefix
bodies,3,Anniversary Banner Jpg,Default,bodies/003_anniversary_banner_jpg_default.png,256,256,ac593c54314ef15068e43850acc0fb21d6cbcefc59171af0598d38674840e5e7,julez64_images_zip,images/large/battle_cars_anniversary_banner.jpg,battle_cars,-1,battle_cars_anniversary_banner.jpg,category_from_filename_prefix
bodies,4,Anniversary Topper Jpg,Default,bodies/004_anniversary_topper_jpg_default.png,256,256,f719e57ebf02b62d4dcd9c505dd28225eb25c06c9a41297adca9ce0c5c50d222,julez64_images_zip,images/large/battle_cars_anniversary_topper.jpg,battle_cars,-1,battle_cars_anniversary_topper.jpg,category_from_filename_prefix
antennas,1,8 Ball,Default,antennas/001_8_ball_default.png,134,134,cdd09ebd94cc49a80a18b55fb3a57b1ca23b7cb62e8aac2048ff5c08803aea46,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/8-Ball/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,2,Alien,Default,antennas/002_alien_default.png,220,220,d17f83c3d8007440b8d5a31113cd8c53ea1b43b3c15874105ebaf4b46b3b1758,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Alien/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,3,Arachnotenna,Default,antennas/003_arachnotenna_default.png,256,256,b84db91e4b5aad89e555e6e2458d636c0cb8defd4a7b4014ee15845176f94dd2,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Arachnotenna/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,4,Balloon Dog,Default,antennas/004_balloon_dog_default.png,220,220,2527752a42e52a8e614d500d8401515445468d80271f178809a5a054bb3b488b,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Balloon Dog/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,5,Blacklight,Default,antennas/005_blacklight_default.png,134,134,39552e328c7754fbc7b5a1fa30e30794cc18e14c3ebb5b9b37f89a7e13b83b68,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Blacklight/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,6,Bomb Pole,Default,antennas/006_bomb_pole_default.png,134,134,ef35cdc9d34a38706aae2e75dbc1af8b7704b7f23f8fdd745b15a59a1a186df4,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Bomb Pole/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,7,Bubble Wand,Default,antennas/007_bubble_wand_default.png,220,220,a0b3c42924f6c7bab99f43b6f77bf823f3088087a667eceb59870c803a8e1cb1,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Bubble Wand/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,8,Calavera,Default,antennas/008_calavera_default.png,134,134,d6a76d49c717dd3c7a2937582a8e39f7c7915b206cd497ed13e1244005ec3994,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Calavera/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,9,Calculated,Default,antennas/009_calculated_default.png,220,220,e62ad28d29b125c8b873056bbddd1058dd49ed6af66928f9d0258786b5bc90e5,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Calculated/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,10,Candle,Default,antennas/010_candle_default.png,220,220,3bcb430aae3ae1f57cb1264c3055c33d10b09be450897f73cc77430cfc2ed5fc,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Candle/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
antennas,11,Candy Cane,Default,antennas/011_candy_cane_default.png,134,134,1986009f640e84aa9edc68266192fe4c3ba05ff41308887d2ded916b84db6d5b,enzanki_repo_zip,rocket-league-item-images-enzanki-ars/Rocket League Item Images/Antenna/Candy Cane/Default.png,antenna,1,Default.png,category_from_exact_path_segment; item_from_folder; variant_from_filename
